epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,658.551,0.82152,0.6302,1.14053,0.77218,0.94915,0.82235,0.45799,1.43325,0.97951,1.5485,0.0006734,0.0006734,0.0006734
69,668.185,0.85017,0.62457,1.16964,0.77681,0.94,0.83499,0.47172,1.43378,0.956,1.56903,0.0006536,0.0006536,0.0006536
70,677.939,0.85525,0.65055,1.18243,0.77908,0.9,0.8271,0.49704,1.3739,0.92842,1.49218,0.0006338,0.0006338,0.0006338
71,687.723,0.82951,0.62979,1.16421,0.77908,0.9,0.8271,0.49704,1.3739,0.92842,1.49218,0.000614,0.000614,0.000614
72,697.376,0.80106,0.63249,1.16416,0.76734,0.92,0.81686,0.50753,1.31946,0.90114,1.43526,0.0005942,0.0005942,0.0005942
73,707.064,0.802,0.62141,1.13942,0.78007,0.9,0.80722,0.50619,1.32881,0.90902,1.43331,0.0005744,0.0005744,0.0005744
74,716.777,0.88972,0.65233,1.1414,0.76366,0.94,0.80645,0.49539,1.35295,0.93924,1.46472,0.0005546,0.0005546,0.0005546
75,726.392,0.77146,0.61677,1.1255,0.76366,0.94,0.80645,0.49539,1.35295,0.93924,1.46472,0.0005348,0.0005348,0.0005348
76,736.127,0.79382,0.61192,1.10721,0.77703,0.9,0.81924,0.48656,1.3867,0.96401,1.51195,0.000515,0.000515,0.000515
77,745.77,0.83052,0.62849,1.18232,0.76351,0.90406,0.82594,0.47378,1.40885,0.96279,1.52906,0.0004952,0.0004952,0.0004952
78,755.509,0.7973,0.61528,1.13159,0.77376,0.96,0.82735,0.48937,1.37531,0.96435,1.49563,0.0004754,0.0004754,0.0004754
79,765.157,0.77309,0.59473,1.12326,0.77376,0.96,0.82735,0.48937,1.37531,0.96435,1.49563,0.0004556,0.0004556,0.0004556
80,774.921,0.7828,0.60657,1.1132,0.78391,0.94326,0.82864,0.5121,1.3349,0.92805,1.45017,0.0004358,0.0004358,0.0004358
